Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,predicted_demand,optimized_supply
WH_100106,EID_50106,Rural,Mid,South,Zone 4,5,0,3,6299,Company Owned,21,0,0,1,261,29.0,2014.0,16,0,B,5,26,20057,20963.757905464066,14500.0
WH_100107,EID_50107,Rural,Large,West,Zone 5,5,0,2,6541,Company Owned,52,0,0,1,165,20.0,2020.0,10,1,C,3,14,14103,14023.57388474705,10000.0
WH_100108,EID_50108,Rural,Mid,West,Zone 4,7,0,4,5879,Rented,67,0,1,1,204,25.0,2017.0,6,0,C,6,11,8070,7845.5421358741005,7835.342135874101
WH_100114,EID_50114,Rural,Mid,South,Zone 2,7,0,2,3795,Rented,28,0,0,1,227,31.0,2010.0,18,1,A+,5,32,24111,23295.362047598843,15500.0
WH_100115,EID_50115,Rural,Small,South,Zone 6,4,0,2,5278,Company Owned,51,0,0,1,247,27.0,2008.0,20,0,A,5,9,28121,25770.25427534085,13500.0
WH_100116,EID_50116,Rural,Mid,West,Zone 2,3,0,4,4418,Rented,64,0,0,1,78,22.0,1997.0,37,0,A,4,1,50124,47478.94879922422,11000.0
WH_100117,EID_50117,Rural,Mid,South,Zone 2,5,0,3,4204,Rented,67,0,0,0,248,18.0,2023.0,0,0,,0,32,6106,1874.3434401751729,1861.9434401751728
WH_100121,EID_50121,Rural,Large,South,Zone 6,5,0,2,4119,Rented,31,0,0,1,105,27.0,2010.0,15,0,B,4,29,19088,19610.337908829446,13500.0
WH_100122,EID_50122,Rural,Small,West,Zone 1,4,0,4,5340,Company Owned,49,0,0,0,69,29.0,2000.0,26,1,C,2,3,34129,33778.38186672321,14500.0
WH_100126,EID_50126,Rural,Mid,South,Zone 3,8,0,2,4172,Company Owned,68,0,0,1,171,27.0,2009.0,18,0,B,6,27,20065,22981.471673540684,13500.0
WH_100127,EID_50127,Rural,Small,East,Zone 1,8,0,8,3948,Rented,54,1,0,1,161,25.0,2011.0,15,0,B,5,31,19124,19439.735620378546,12500.0
WH_100129,EID_50129,Rural,Mid,North,Zone 2,4,0,2,4430,Company Owned,33,0,0,0,92,32.0,2014.0,20,0,C,2,12,27085,26926.85752592617,16000.0
WH_100130,EID_50130,Rural,Small,North,Zone 6,8,1,3,5041,Company Owned,31,0,0,1,262,26.0,1998.0,26,0,C,4,13,33074,32818.38615244752,13000.0
WH_100131,EID_50131,Rural,Mid,South,Zone 2,7,0,3,3825,Company Owned,54,0,0,1,223,40.0,2022.0,5,0,B,1,32,6079,8105.903849490191,8094.75384949019
WH_100133,EID_50133,Rural,Mid,South,Zone 3,8,0,3,4334,Company Owned,53,0,0,1,86,31.0,2010.0,15,1,A+,4,27,21064,19610.337908829446,15500.0
WH_100135,EID_50135,Rural,Mid,South,Zone 4,8,1,3,4670,Company Owned,55,0,1,1,128,31.0,2006.0,24,0,A,4,26,31107,30773.358181527234,15500.0
WH_100137,EID_50137,Rural,Large,West,Zone 6,7,0,4,4393,Company Owned,59,1,0,1,145,32.0,2014.0,9,0,A,4,23,12055,12042.373139996169,12035.123139996169
WH_100139,EID_50139,Rural,Small,West,Zone 6,7,1,7,6062,Company Owned,32,0,0,1,115,39.0,2013.0,18,1,A+,1,15,24069,24147.064534868376,19500.0
WH_100140,EID_50140,Rural,Large,North,Zone 6,4,2,5,4396,Rented,58,0,0,1,187,37.0,2002.0,15,1,A+,4,28,19128,18372.755634081695,18363.405634081693
WH_100143,EID_50143,Rural,Small,South,Zone 1,3,0,2,4480,Company Owned,50,0,0,1,200,24.0,2015.0,17,0,B,5,16,21136,22344.49210494233,12000.0
WH_100146,EID_50146,Rural,Small,North,Zone 1,7,3,4,4838,Rented,26,0,0,0,97,18.0,2006.0,21,1,A+,5,3,28151,25939.411447930062,9000.0
WH_100147,EID_50147,Rural,Mid,North,Zone 4,3,0,3,5861,Company Owned,55,1,0,1,106,35.0,2000.0,24,0,A,4,26,30126,30675.708890864888,17500.0
WH_100148,EID_50148,Rural,Large,North,Zone 5,7,1,3,5420,Company Owned,58,0,0,0,134,25.0,2009.0,22,0,B+,3,17,27147,28612.356327843358,12500.0
WH_100149,EID_50149,Rural,Mid,South,Zone 2,6,0,2,4114,Rented,53,0,0,0,133,24.0,2011.0,18,1,B,4,32,23135,23609.252421656973,12000.0
WH_100153,EID_50153,Rural,Mid,West,Zone 3,6,0,4,4340,Rented,18,0,0,0,80,19.0,2002.0,26,0,B+,4,19,30145,33437.17728982141,9500.0
WH_100156,EID_50156,Rural,Large,North,Zone 5,3,0,4,4137,Company Owned,50,0,0,1,256,26.0,2007.0,23,0,B+,2,17,27058,30352.61969632469,13000.0
WH_100158,EID_50158,Rural,Large,North,Zone 6,4,0,3,4497,Rented,52,0,0,1,181,32.0,2012.0,20,0,A,2,28,27119,26783.56944031891,16000.0
WH_100163,EID_50163,Rural,Mid,South,Zone 2,4,0,2,6385,Company Owned,46,0,1,0,164,28.0,2018.0,13,1,C,2,22,18151,18049.802600418247,14000.0
WH_100164,EID_50164,Rural,Large,West,Zone 6,4,0,5,4583,Rented,19,0,0,1,235,30.0,1997.0,25,0,B+,4,6,29116,31769.86691912866,15000.0
WH_100166,EID_50166,Rural,Mid,West,Zone 3,5,0,4,4760,Company Owned,53,0,0,1,91,29.0,2000.0,32,0,B,6,27,40088,40663.93748175292,14500.0
WH_100167,EID_50167,Rural,Mid,North,Zone 2,3,0,4,3972,Company Owned,30,0,0,1,152,47.0,2017.0,10,1,A+,1,12,15090,14293.134418845235,14285.534418845235
WH_100168,EID_50168,Rural,Large,North,Zone 6,5,1,3,5981,Rented,18,0,0,1,240,29.0,2009.0,24,1,A+,2,23,32055,31472.782972447167,14500.0
WH_100169,EID_50169,Rural,Mid,North,Zone 4,3,0,2,3521,Rented,65,0,0,0,81,25.0,2006.0,33,0,C,2,26,43066,43371.87722026737,12500.0
WH_100171,EID_50171,Rural,Large,South,Zone 6,8,0,2,5390,Company Owned,70,0,0,0,264,22.0,2016.0,14,1,A+,6,29,21059,18246.619346467516,11000.0
WH_100172,EID_50172,Rural,Mid,North,Zone 3,8,0,3,4671,Rented,43,0,0,1,142,35.0,2017.0,6,0,A,2,27,8100,8814.52746089219,8807.42746089219
WH_100173,EID_50173,Rural,Large,North,Zone 6,7,1,3,8137,Rented,33,0,0,1,101,23.0,2015.0,13,0,B+,1,28,16116,17744.901837102487,11500.0
WH_100176,EID_50176,Rural,Mid,South,Zone 4,3,0,2,7896,Rented,63,0,0,0,176,15.0,2023.0,0,0,,0,26,6057,1874.3434401751729,1865.543440175173
WH_100178,EID_50178,Rural,Large,South,Zone 5,8,0,2,4532,Company Owned,40,0,0,1,212,27.0,2008.0,24,1,B,5,14,31076,31006.61490203938,13500.0
WH_100182,EID_50182,Rural,Mid,West,Zone 4,7,0,4,5620,Company Owned,68,0,0,1,221,25.0,2008.0,22,1,A+,5,11,32056,28388.434588690114,12500.0
WH_100183,EID_50183,Rural,Large,North,Zone 6,5,0,2,5598,Company Owned,27,0,0,1,175,29.0,2005.0,25,1,B,2,28,30056,32827.5119240667,14500.0
WH_100190,EID_50190,Rural,Large,North,Zone 6,4,3,2,5558,Rented,47,1,0,0,159,40.0,2016.0,5,1,A,3,28,8059,6194.902031681209,6186.9520316812095
WH_100192,EID_50192,Rural,Mid,West,Zone 2,3,0,5,4637,Rented,64,0,0,0,170,18.0,2022.0,0,0,,0,1,13142,1802.699397371558,1794.199397371558
WH_100193,EID_50193,Rural,Small,North,Zone 1,3,1,4,5059,Company Owned,43,1,0,1,206,34.0,1999.0,33,0,B+,6,31,39139,41569.16862946452,17000.0
WH_100199,EID_50199,Urban,Mid,North,Zone 3,6,1,4,4723,Rented,29,0,0,1,161,31.0,2014.0,10,1,B,4,19,12129,13019.248330511386,13011.198330511384
WH_100201,EID_50201,Rural,Mid,West,Zone 3,5,4,4,6060,Rented,66,0,0,1,141,39.0,2000.0,25,0,B,6,19,29116,30171.446520392958,19500.0
WH_100202,EID_50202,Rural,Large,North,Zone 5,8,0,3,4796,Rented,30,0,0,1,86,33.0,2016.0,12,0,A,1,5,16130,16839.670689390885,16500.0
WH_100203,EID_50203,Rural,Large,North,Zone 6,6,1,2,4485,Company Owned,23,0,0,1,157,29.0,2020.0,5,0,A,2,29,7113,7388.154466469045,7380.304466469045
WH_100206,EID_50206,Rural,Small,South,Zone 6,5,0,2,6765,Company Owned,62,0,0,1,157,32.0,2018.0,11,0,A,2,2,15069,15431.622287068982,15423.772287068981
WH_100207,EID_50207,Rural,Mid,West,Zone 4,5,0,4,8506,Company Owned,62,0,0,0,152,36.0,1997.0,34,0,B+,4,11,43072,43551.67832920034,18000.0
WH_100211,EID_50211,Rural,Large,West,Zone 5,8,0,4,3913,Rented,63,0,0,0,145,18.0,2020.0,4,0,B,3,14,4146,6169.032944699255,6161.782944699255
WH_100212,EID_50212,Rural,Mid,South,Zone 2,7,0,4,3846,Company Owned,31,0,0,1,96,30.0,2018.0,13,0,B+,3,32,17090,17807.556269163702,15000.0
WH_100213,EID_50213,Rural,Small,West,Zone 6,5,4,4,4560,Company Owned,56,0,0,1,194,39.0,2022.0,5,1,B,1,9,7071,6777.043984852644,6767.343984852644
WH_100216,EID_50216,Rural,Large,West,Zone 5,7,0,2,4975,Rented,19,0,0,1,101,45.0,2019.0,6,0,A,2,10,7099,8957.815546499449,8952.76554649945
WH_100218,EID_50218,Rural,Large,North,Zone 6,3,2,4,5719,Rented,51,0,0,1,270,40.0,1998.0,23,0,B+,3,28,26098,28801.147047518753,20000.0
WH_100219,EID_50219,Rural,Large,North,Zone 5,4,0,2,5467,Rented,57,0,0,1,270,32.0,2005.0,24,1,A,4,17,31063,31033.92910488302,16000.0
WH_100220,EID_50220,Rural,Large,West,Zone 6,7,0,3,5086,Company Owned,32,0,0,1,228,32.0,2005.0,28,0,C,2,6,37072,36754.78239409061,16000.0
WH_100221,EID_50221,Rural,Large,North,Zone 6,5,0,2,5211,Company Owned,47,0,0,1,174,26.0,2014.0,13,0,B,4,6,16141,17278.7337666947,13000.0
WH_100222,EID_50222,Rural,Large,North,Zone 5,7,0,4,5794,Rented,40,0,0,1,139,24.0,2021.0,0,0,,0,14,5076,1731.0553545679431,1724.105354567943
WH_100225,EID_50225,Urban,Mid,South,Zone 4,3,0,2,3638,Company Owned,46,0,0,1,264,26.0,1999.0,25,1,A+,6,26,35063,31428.66234222689,13000.0
WH_100227,EID_50227,Rural,Small,West,Zone 6,5,0,4,5713,Company Owned,40,0,0,1,122,22.0,2018.0,6,0,B+,1,9,7073,9128.41783495032,9122.31783495032
WH_100231,EID_50231,Urban,Mid,North,Zone 3,8,0,3,5744,Company Owned,37,0,0,1,62,26.0,2007.0,33,1,A+,6,27,47079,42474.5359380529,13000.0
WH_100232,EID_50232,Rural,Mid,West,Zone 2,5,0,3,5410,Rented,18,0,0,1,169,23.0,1998.0,24,1,B+,5,12,28112,30290.174474003143,11500.0
WH_100234,EID_50234,Rural,Large,West,Zone 5,8,2,4,4585,Rented,54,0,0,1,136,48.0,2005.0,17,1,A,6,25,22093,20721.375413332804,20714.575413332805
WH_100236,EID_50236,Rural,Small,North,Zone 1,8,0,3,4217,Company Owned,26,0,0,1,255,34.0,1997.0,27,0,B+,6,16,34147,33903.554569968896,17000.0
WH_100237,EID_50237,Rural,Mid,West,Zone 2,4,0,5,4701,Rented,15,0,0,0,210,26.0,2004.0,23,1,A,3,18,32114,29895.441236659273,13000.0
WH_100240,EID_50240,Rural,Mid,West,Zone 4,4,0,7,4013,Rented,32,1,0,1,86,29.0,2019.0,7,0,B,1,26,8091,10509.152034428582,10504.85203442858
WH_100242,EID_50242,Rural,Small,South,Zone 6,5,0,4,5463,Company Owned,30,0,0,1,82,40.0,2002.0,30,0,B+,6,2,37074,38189.04525401088,20000.0
WH_100247,EID_50247,Rural,Large,West,Zone 5,3,0,2,4553,Company Owned,30,0,0,1,186,35.0,2013.0,15,1,B+,4,14,18147,19825.27003724032,17500.0
WH_100248,EID_50248,Rural,Large,West,Zone 5,8,0,4,4732,Rented,55,0,0,0,75,38.0,2013.0,20,1,A+,5,10,25093,26128.474489358952,19000.0
WH_100249,EID_50249,Rural,Mid,South,Zone 4,4,0,3,5516,Rented,22,0,0,1,123,29.0,2020.0,8,1,A,3,20,11131,11405.393571397784,11399.243571397783
WH_100250,EID_50250,Rural,Mid,South,Zone 4,8,0,2,5337,Company Owned,42,0,0,0,193,17.0,2021.0,6,0,B+,1,26,7068,9343.349963361194,8500.0
WH_100256,EID_50256,Rural,Small,West,Zone 6,5,0,3,4686,Company Owned,36,0,0,1,60,32.0,2014.0,14,0,B+,3,8,17095,18830.07025462383,16000.0
WH_100259,EID_50259,Urban,Large,West,Zone 6,5,2,3,3305,Rented,30,0,0,1,222,26.0,2015.0,12,0,B+,4,6,13085,15376.857720504893,13000.0
WH_100263,EID_50263,Rural,Mid,West,Zone 4,7,0,2,4952,Company Owned,69,0,0,1,90,42.0,2016.0,13,0,A,4,11,18122,17422.02185230193,17417.52185230193
WH_100265,EID_50265,Rural,Mid,West,Zone 3,5,0,3,7850,Company Owned,18,0,0,0,119,21.0,2013.0,18,0,B,6,27,20076,23268.047844755172,10500.0
WH_100266,EID_50266,Rural,Large,North,Zone 6,4,0,4,4943,Rented,30,0,0,1,183,62.0,2021.0,0,0,,0,23,6123,1731.0553545679431,1721.905354567943
WH_100268,EID_50268,Rural,Small,North,Zone 6,5,0,6,4435,Company Owned,69,0,0,1,224,29.0,1999.0,23,0,B+,3,13,27121,29537.22102264117,14500.0
WH_100270,EID_50270,Rural,Small,North,Zone 6,4,4,4,5204,Rented,68,0,1,1,222,31.0,2008.0,24,1,A+,4,15,32059,29920.001368656347,15500.0
WH_100276,EID_50276,Rural,Mid,West,Zone 4,6,0,3,4250,Rented,60,0,0,0,267,15.0,2016.0,11,1,B,3,11,15142,15046.087870207179,7500.0
WH_100277,EID_50277,Rural,Large,North,Zone 6,7,0,4,4947,Company Owned,69,0,0,0,70,24.0,2006.0,26,0,A,2,29,35118,34208.24612354496,12000.0
WH_100287,EID_50287,Rural,Small,North,Zone 6,8,0,4,4166,Company Owned,58,0,0,1,57,28.0,2011.0,24,1,C,3,9,34126,31706.039692959253,14000.0
WH_100288,EID_50288,Rural,Mid,West,Zone 2,5,0,3,7355,Company Owned,47,0,0,1,60,28.0,2005.0,25,0,B+,4,1,32123,32343.019261557638,14000.0
WH_100291,EID_50291,Rural,Large,West,Zone 6,6,0,3,4690,Rented,63,0,0,1,106,29.0,2004.0,22,0,C,4,6,27108,28344.10474873014,14500.0
WH_100295,EID_50295,Urban,Large,North,Zone 6,4,0,2,4042,Rented,51,0,0,0,193,18.0,1998.0,28,0,A,5,23,38114,35526.53510070167,9000.0
WH_100296,EID_50296,Rural,Small,West,Zone 6,5,0,10,5025,Company Owned,24,0,0,1,160,21.0,2006.0,38,0,B,5,9,47145,49190.589009876945,10500.0
WH_100299,EID_50299,Rural,Mid,South,Zone 4,5,0,2,4119,Company Owned,43,0,0,1,254,45.0,2017.0,6,0,B+,2,26,7095,8814.52746089219,8801.82746089219
WH_100300,EID_50300,Rural,Large,South,Zone 6,4,1,2,4707,Company Owned,33,0,0,1,138,27.0,1999.0,25,0,A,3,29,32059,31823.186369831034,13500.0
WH_100301,EID_50301,Rural,Mid,North,Zone 4,4,0,4,8304,Company Owned,17,0,0,0,103,28.0,2020.0,8,1,B+,1,26,10134,11889.886233906844,11884.736233906844
WH_100304,EID_50304,Rural,Small,North,Zone 1,4,0,4,4523,Rented,25,0,0,0,156,20.0,2010.0,21,1,C,3,31,28086,27707.125180131756,10000.0
WH_100305,EID_50305,Rural,Mid,South,Zone 4,4,0,2,4062,Company Owned,42,0,0,1,148,32.0,2018.0,5,1,A,2,20,7138,7577.081347021187,7569.681347021187
WH_100307,EID_50307,Rural,Small,North,Zone 1,3,0,2,5451,Company Owned,70,0,0,0,97,25.0,2007.0,23,0,C,5,31,30120,29625.880702561117,12500.0
WH_100308,EID_50308,Rural,Mid,North,Zone 2,3,0,2,4502,Rented,54,0,0,0,236,30.0,2020.0,5,1,C,2,1,7067,7720.369432628446,7708.569432628446
WH_100310,EID_50310,Rural,Mid,North,Zone 4,7,0,2,4622,Rented,55,0,0,0,241,24.0,2010.0,15,1,B+,4,26,19066,19610.337908829446,12000.0
WH_100311,EID_50311,Rural,Mid,South,Zone 4,4,0,2,4344,Company Owned,28,1,1,1,94,28.0,2011.0,19,1,A+,2,26,27091,25402.83524084065,14000.0
WH_100315,EID_50315,Rural,Large,North,Zone 6,7,0,2,5396,Company Owned,46,0,0,0,118,32.0,2003.0,27,0,A,3,28,34120,35060.15782055419,16000.0
WH_100316,EID_50316,Rural,Mid,North,Zone 3,7,0,3,5072,Company Owned,46,0,0,1,222,35.0,2014.0,16,1,A+,2,27,23095,21690.49689922764,17500.0
WH_100325,EID_50325,Rural,Large,North,Zone 5,4,3,2,5198,Rented,40,0,0,0,264,26.0,2000.0,25,0,B,4,24,29057,30988.15414906136,13000.0
WH_100326,EID_50326,Rural,Mid,West,Zone 2,4,1,3,4380,Rented,67,0,0,1,255,25.0,2020.0,7,1,C,2,12,10135,10006.33477981828,9993.58477981828
